Date : 2023-01-07 13:51:00
Directory : c:\Users\Aurélien\Documents\dev\MathAnimation\Animations
Total : 3993 files,  916211 codes, 102660 comments, 145608 blanks, all 1164479 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C++                |      1,943 |    495,220 |     83,520 |     93,756 |    672,496 |
| HTML               |        830 |    158,134 |      3,871 |      7,449 |    169,454 |
| C                  |        204 |    132,691 |      9,207 |     19,260 |    161,158 |
| JSON               |         38 |     35,815 |        306 |         29 |     36,150 |
| Markdown           |        392 |     32,683 |         16 |     13,643 |     46,342 |
| Lua                |        142 |     14,354 |      1,196 |      3,069 |     18,619 |
| JavaScript         |        159 |     13,598 |      2,011 |      2,328 |     17,937 |
| CSS                |         12 |      4,476 |        153 |        890 |      5,519 |
| Python             |         35 |      4,437 |        763 |      1,240 |      6,440 |
| YAML               |         60 |      4,278 |        414 |        546 |      5,238 |
| SVG                |         11 |      4,198 |          8 |         38 |      4,244 |
| XML                |         12 |      4,094 |          7 |        694 |      4,795 |
| Objective-C        |          6 |      3,197 |        351 |        770 |      4,318 |
| CMake              |         28 |      2,496 |          0 |        337 |      2,833 |
| Objective-C++      |          6 |      1,949 |        356 |        439 |      2,744 |
| Makefile           |         19 |      1,014 |        351 |        380 |      1,745 |
| TypeScript         |          7 |        605 |          8 |         63 |        676 |
| LaTeX              |          2 |        520 |          0 |        131 |        651 |
| SCSS               |          5 |        403 |         44 |        120 |        567 |
| Protocol Buffers   |          1 |        321 |          0 |         60 |        381 |
| SQL                |          2 |        229 |          3 |          5 |        237 |
| Ruby               |          6 |        217 |         13 |         64 |        294 |
| BibTeX             |          1 |        155 |          0 |         22 |        177 |
| Batch              |         19 |        139 |         15 |         32 |        186 |
| Shell Script       |         11 |        110 |         17 |         47 |        174 |
| JavaScript React   |          3 |         87 |          0 |         22 |        109 |
| Less               |          2 |         77 |          0 |         14 |         91 |
| PHP                |          4 |         73 |          2 |         24 |         99 |
| Go                 |          2 |         72 |          2 |         18 |         92 |
| TypeScript React   |          2 |         64 |          0 |         17 |         81 |
| C#                 |          2 |         62 |          8 |          4 |         74 |
| Jinja              |          3 |         56 |          0 |          9 |         65 |
| Gradle             |          3 |         52 |          0 |         10 |         62 |
| pip requirements   |          2 |         51 |          0 |          2 |         53 |
| GLSL               |          3 |         50 |          0 |         17 |         67 |
| CoffeeScript       |          1 |         48 |          2 |         21 |         71 |
| Ignore             |          6 |         40 |          0 |          3 |         43 |
| Rust               |          2 |         38 |          2 |         11 |         51 |
| Java               |          2 |         30 |          0 |          4 |         34 |
| Kotlin             |          1 |         30 |          3 |          8 |         41 |
| Properties         |          2 |         28 |          3 |          7 |         38 |
| JSON with Comments |          1 |         12 |          0 |          1 |         13 |
| CUDA C++           |          1 |          8 |          8 |          4 |         20 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                        |      3,993 |    916,211 |    102,660 |    145,608 |  1,164,479 |
| include                                                                                                                                                  |         71 |      4,745 |        280 |        776 |      5,801 |
| include (Files)                                                                                                                                          |          1 |        149 |         11 |         30 |        190 |
| include\animation                                                                                                                                        |          6 |        572 |         26 |        114 |        712 |
| include\audio                                                                                                                                            |          2 |         55 |          0 |         12 |         67 |
| include\core                                                                                                                                             |          8 |        259 |         86 |         86 |        431 |
| include\editor                                                                                                                                           |         16 |        408 |          2 |         97 |        507 |
| include\latex                                                                                                                                            |          1 |         20 |          0 |         10 |         30 |
| include\math                                                                                                                                             |          1 |        202 |          0 |         23 |        225 |
| include\multithreading                                                                                                                                   |          2 |         64 |         30 |         10 |        104 |
| include\parsers                                                                                                                                          |          4 |        234 |          5 |         56 |        295 |
| include\platform                                                                                                                                         |          2 |         79 |          0 |         27 |        106 |
| include\renderer                                                                                                                                         |          8 |        380 |         42 |         97 |        519 |
| include\scripting                                                                                                                                        |          4 |        107 |          6 |         27 |        140 |
| include\shaders                                                                                                                                          |          3 |        117 |         24 |         30 |        171 |
| include\svg                                                                                                                                              |          5 |        251 |          4 |         60 |        315 |
| include\utils                                                                                                                                            |          6 |      1,781 |         43 |         81 |      1,905 |
| include\video                                                                                                                                            |          2 |         67 |          1 |         16 |         84 |
| src                                                                                                                                                      |         63 |     23,939 |      2,327 |      4,130 |     30,396 |
| src (Files)                                                                                                                                              |          3 |        330 |          4 |         34 |        368 |
| src\animation                                                                                                                                            |          6 |      3,134 |        672 |        497 |      4,303 |
| src\audio                                                                                                                                                |          2 |        357 |         10 |         43 |        410 |
| src\core                                                                                                                                                 |          6 |      1,058 |         62 |        218 |      1,338 |
| src\editor                                                                                                                                               |         16 |      5,870 |        502 |        948 |      7,320 |
| src\latex                                                                                                                                                |          1 |        290 |         27 |         47 |        364 |
| src\math                                                                                                                                                 |          1 |        506 |          0 |        101 |        607 |
| src\multithreading                                                                                                                                       |          1 |        157 |          2 |         18 |        177 |
| src\parsers                                                                                                                                              |          4 |      1,203 |         51 |        189 |      1,443 |
| src\platform                                                                                                                                             |          2 |        621 |         26 |         92 |        739 |
| src\renderer                                                                                                                                             |          8 |      3,726 |        357 |        760 |      4,843 |
| src\scripting                                                                                                                                            |          4 |      1,680 |        158 |        391 |      2,229 |
| src\svg                                                                                                                                                  |          5 |      3,869 |        334 |        594 |      4,797 |
| src\utils                                                                                                                                                |          2 |        860 |        112 |        154 |      1,126 |
| src\video                                                                                                                                                |          2 |        278 |         10 |         44 |        332 |
| vendor                                                                                                                                                   |      3,859 |    887,527 |    100,053 |    140,702 |  1,128,282 |
| vendor\GLFW                                                                                                                                              |        123 |     68,547 |     16,463 |      9,803 |     94,813 |
| vendor\GLFW (Files)                                                                                                                                      |          4 |        619 |          0 |         59 |        678 |
| vendor\GLFW\CMake                                                                                                                                        |          7 |        101 |          0 |         26 |        127 |
| vendor\GLFW\CMake (Files)                                                                                                                                |          5 |         73 |          0 |         17 |         90 |
| vendor\GLFW\CMake\modules                                                                                                                                |          2 |         28 |          0 |          9 |         37 |
| vendor\GLFW\deps                                                                                                                                         |         18 |     33,344 |      6,216 |      2,743 |     42,303 |
| vendor\GLFW\deps (Files)                                                                                                                                 |         10 |     23,557 |      5,636 |      2,338 |     31,531 |
| vendor\GLFW\deps\glad                                                                                                                                    |          4 |      7,315 |        252 |        131 |      7,698 |
| vendor\GLFW\deps\mingw                                                                                                                                   |          3 |      2,320 |        273 |        233 |      2,826 |
| vendor\GLFW\deps\vs2008                                                                                                                                  |          1 |        152 |         55 |         41 |        248 |
| vendor\GLFW\docs                                                                                                                                         |          8 |      1,581 |         37 |        215 |      1,833 |
| vendor\GLFW\examples                                                                                                                                     |         10 |      2,695 |        845 |        792 |      4,332 |
| vendor\GLFW\include                                                                                                                                      |          2 |        698 |      5,615 |        289 |      6,602 |
| vendor\GLFW\include\GLFW                                                                                                                                 |          2 |        698 |      5,615 |        289 |      6,602 |
| vendor\GLFW\src                                                                                                                                          |         55 |     23,818 |      3,083 |      4,473 |     31,374 |
| vendor\GLFW\tests                                                                                                                                        |         19 |      5,691 |        667 |      1,206 |      7,564 |
| vendor\cppUtils                                                                                                                                          |          5 |        908 |        236 |        210 |      1,354 |
| vendor\cppUtils (Files)                                                                                                                                  |          3 |         72 |          3 |         18 |         93 |
| vendor\cppUtils\single_include                                                                                                                           |          2 |        836 |        233 |        192 |      1,261 |
| vendor\cppUtils\single_include\cppUtils                                                                                                                  |          2 |        836 |        233 |        192 |      1,261 |
| vendor\dearimgui                                                                                                                                         |        131 |     60,846 |     17,664 |      9,876 |     88,386 |
| vendor\dearimgui (Files)                                                                                                                                 |         11 |     42,042 |      9,634 |      6,005 |     57,681 |
| vendor\dearimgui\.github                                                                                                                                 |          6 |        446 |         70 |        142 |        658 |
| vendor\dearimgui\.github (Files)                                                                                                                         |          3 |         32 |          0 |         24 |         56 |
| vendor\dearimgui\.github\workflows                                                                                                                       |          3 |        414 |         70 |        118 |        602 |
| vendor\dearimgui\backends                                                                                                                                |         38 |     11,014 |      2,175 |      1,624 |     14,813 |
| vendor\dearimgui\backends (Files)                                                                                                                        |         35 |     10,980 |      2,171 |      1,614 |     14,765 |
| vendor\dearimgui\backends\vulkan                                                                                                                         |          3 |         34 |          4 |         10 |         48 |
| vendor\dearimgui\docs                                                                                                                                    |          5 |      1,281 |          0 |        441 |      1,722 |
| vendor\dearimgui\examples                                                                                                                                |         67 |      5,709 |      5,721 |      1,582 |     13,012 |
| vendor\dearimgui\examples\example_allegro5                                                                                                               |          3 |        111 |         49 |         35 |        195 |
| vendor\dearimgui\examples\example_android_opengl3                                                                                                        |          6 |        339 |         69 |         90 |        498 |
| vendor\dearimgui\examples\example_android_opengl3 (Files)                                                                                                |          1 |        236 |         66 |         68 |        370 |
| vendor\dearimgui\examples\example_android_opengl3\android                                                                                                |          5 |        103 |          3 |         22 |        128 |
| vendor\dearimgui\examples\example_android_opengl3\android (Files)                                                                                        |          2 |         21 |          0 |          6 |         27 |
| vendor\dearimgui\examples\example_android_opengl3\android\app                                                                                            |          3 |         82 |          3 |         16 |        101 |
| vendor\dearimgui\examples\example_android_opengl3\android\app (Files)                                                                                    |          1 |         31 |          0 |          4 |         35 |
| vendor\dearimgui\examples\example_android_opengl3\android\app\src                                                                                        |          2 |         51 |          3 |         12 |         66 |
| vendor\dearimgui\examples\example_android_opengl3\android\app\src\main                                                                                   |          2 |         51 |          3 |         12 |         66 |
| vendor\dearimgui\examples\example_android_opengl3\android\app\src\main (Files)                                                                           |          1 |         21 |          0 |          4 |         25 |
| vendor\dearimgui\examples\example_android_opengl3\android\app\src\main\java                                                                              |          1 |         30 |          3 |          8 |         41 |
| vendor\dearimgui\examples\example_apple_metal                                                                                                            |          4 |        351 |         52 |         79 |        482 |
| vendor\dearimgui\examples\example_apple_metal (Files)                                                                                                    |          2 |        233 |         50 |         77 |        360 |
| vendor\dearimgui\examples\example_apple_metal\iOS                                                                                                        |          1 |         26 |          1 |          1 |         28 |
| vendor\dearimgui\examples\example_apple_metal\macOS                                                                                                      |          1 |         92 |          1 |          1 |         94 |
| vendor\dearimgui\examples\example_apple_opengl2                                                                                                          |          1 |        171 |         44 |         54 |        269 |
| vendor\dearimgui\examples\example_emscripten_opengl3                                                                                                     |          4 |        224 |         82 |         54 |        360 |
| vendor\dearimgui\examples\example_emscripten_wgpu                                                                                                        |          3 |        216 |         75 |         69 |        360 |
| vendor\dearimgui\examples\example_glfw_metal                                                                                                             |          2 |        129 |         45 |         46 |        220 |
| vendor\dearimgui\examples\example_glfw_opengl2                                                                                                           |          3 |        147 |         77 |         49 |        273 |
| vendor\dearimgui\examples\example_glfw_opengl3                                                                                                           |          3 |        164 |         81 |         50 |        295 |
| vendor\dearimgui\examples\example_glfw_vulkan                                                                                                            |          3 |        445 |         83 |         82 |        610 |
| vendor\dearimgui\examples\example_glut_opengl2                                                                                                           |          2 |        126 |         64 |         44 |        234 |
| vendor\dearimgui\examples\example_null                                                                                                                   |          3 |         87 |         22 |         26 |        135 |
| vendor\dearimgui\examples\example_sdl_directx11                                                                                                          |          2 |        168 |         54 |         37 |        259 |
| vendor\dearimgui\examples\example_sdl_metal                                                                                                              |          2 |        139 |         47 |         44 |        230 |
| vendor\dearimgui\examples\example_sdl_opengl2                                                                                                            |          4 |        174 |         72 |         56 |        302 |
| vendor\dearimgui\examples\example_sdl_opengl3                                                                                                            |          4 |        196 |         81 |         58 |        335 |
| vendor\dearimgui\examples\example_sdl_sdlrenderer                                                                                                        |          4 |        154 |         70 |         53 |        277 |
| vendor\dearimgui\examples\example_sdl_vulkan                                                                                                             |          2 |        438 |         80 |         75 |        593 |
| vendor\dearimgui\examples\example_win32_directx10                                                                                                        |          2 |        179 |         53 |         40 |        272 |
| vendor\dearimgui\examples\example_win32_directx11                                                                                                        |          2 |        192 |         61 |         42 |        295 |
| vendor\dearimgui\examples\example_win32_directx12                                                                                                        |          2 |        361 |         61 |         73 |        495 |
| vendor\dearimgui\examples\example_win32_directx9                                                                                                         |          2 |        184 |         55 |         41 |        280 |
| vendor\dearimgui\examples\libs                                                                                                                           |          4 |      1,014 |      4,344 |        385 |      5,743 |
| vendor\dearimgui\examples\libs\glfw                                                                                                                      |          2 |        552 |      3,913 |        220 |      4,685 |
| vendor\dearimgui\examples\libs\glfw\include                                                                                                              |          2 |        552 |      3,913 |        220 |      4,685 |
| vendor\dearimgui\examples\libs\glfw\include\GLFW                                                                                                         |          2 |        552 |      3,913 |        220 |      4,685 |
| vendor\dearimgui\examples\libs\usynergy                                                                                                                  |          2 |        462 |        431 |        165 |      1,058 |
| vendor\dearimgui\misc                                                                                                                                    |          4 |        354 |         64 |         82 |        500 |
| vendor\dearimgui\misc\cpp                                                                                                                                |          2 |         63 |         13 |         16 |         92 |
| vendor\dearimgui\misc\fonts                                                                                                                              |          1 |        283 |         43 |         63 |        389 |
| vendor\dearimgui\misc\single_file                                                                                                                        |          1 |          8 |          8 |          3 |         19 |
| vendor\glad                                                                                                                                              |          3 |      5,537 |        210 |         94 |      5,841 |
| vendor\glad\include                                                                                                                                      |          2 |      3,775 |        185 |         47 |      4,007 |
| vendor\glad\include\KHR                                                                                                                                  |          1 |        117 |        165 |         30 |        312 |
| vendor\glad\include\glad                                                                                                                                 |          1 |      3,658 |         20 |         17 |      3,695 |
| vendor\glad\src                                                                                                                                          |          1 |      1,762 |         25 |         47 |      1,834 |
| vendor\glm                                                                                                                                               |      1,433 |    217,758 |     17,734 |     25,052 |    260,544 |
| vendor\glm (Files)                                                                                                                                       |          4 |      3,099 |          0 |      1,046 |      4,145 |
| vendor\glm\doc                                                                                                                                           |        796 |    151,793 |      3,676 |      7,592 |    163,061 |
| vendor\glm\doc\api                                                                                                                                       |        795 |    150,579 |      3,630 |      7,355 |    161,564 |
| vendor\glm\doc\api (Files)                                                                                                                               |        607 |    143,270 |      3,129 |      7,051 |    153,450 |
| vendor\glm\doc\api\search                                                                                                                                |        188 |      7,309 |        501 |        304 |      8,114 |
| vendor\glm\doc\theme                                                                                                                                     |          1 |      1,214 |         46 |        237 |      1,497 |
| vendor\glm\glm                                                                                                                                           |        426 |     40,317 |     13,167 |     10,218 |     63,702 |
| vendor\glm\glm (Files)                                                                                                                                   |         23 |      1,715 |      1,249 |        446 |      3,410 |
| vendor\glm\glm\detail                                                                                                                                    |         61 |     16,954 |      1,101 |      3,032 |     21,087 |
| vendor\glm\glm\ext                                                                                                                                       |        169 |      4,152 |      4,069 |      1,692 |      9,913 |
| vendor\glm\glm\gtc                                                                                                                                       |         37 |      5,101 |      3,263 |      2,040 |     10,404 |
| vendor\glm\glm\gtx                                                                                                                                       |        126 |     10,973 |      3,102 |      2,695 |     16,770 |
| vendor\glm\glm\simd                                                                                                                                      |         10 |      1,422 |        383 |        313 |      2,118 |
| vendor\glm\test                                                                                                                                          |        207 |     22,549 |        891 |      6,196 |     29,636 |
| vendor\glm\test\bug                                                                                                                                      |          1 |         23 |          2 |          7 |         32 |
| vendor\glm\test\cmake                                                                                                                                    |          1 |         19 |          0 |          4 |         23 |
| vendor\glm\test\core                                                                                                                                     |         55 |      8,960 |        297 |      2,330 |     11,587 |
| vendor\glm\test\ext                                                                                                                                      |         58 |      4,282 |          8 |      1,297 |      5,587 |
| vendor\glm\test\gtc                                                                                                                                      |         21 |      4,342 |        220 |      1,161 |      5,723 |
| vendor\glm\test\gtx                                                                                                                                      |         65 |      4,242 |        364 |      1,157 |      5,763 |
| vendor\glm\test\perf                                                                                                                                     |          6 |        681 |          0 |        240 |        921 |
| vendor\grammars                                                                                                                                          |         33 |      6,652 |         83 |        269 |      7,004 |
| vendor\grammars\glsl                                                                                                                                     |         15 |      2,784 |          7 |         97 |      2,888 |
| vendor\grammars\glsl (Files)                                                                                                                             |          8 |      1,524 |          7 |         74 |      1,605 |
| vendor\grammars\glsl\sample                                                                                                                              |          2 |         29 |          0 |         10 |         39 |
| vendor\grammars\glsl\snippets                                                                                                                            |          1 |         46 |          0 |          0 |         46 |
| vendor\grammars\glsl\src                                                                                                                                 |          2 |        404 |          0 |         12 |        416 |
| vendor\grammars\glsl\syntaxes                                                                                                                            |          2 |        781 |          0 |          1 |        782 |
| vendor\grammars\javascript                                                                                                                               |          4 |      1,997 |          0 |          7 |      2,004 |
| vendor\grammars\javascript (Files)                                                                                                                       |          3 |         60 |          0 |          7 |         67 |
| vendor\grammars\javascript\syntaxes                                                                                                                      |          1 |      1,937 |          0 |          0 |      1,937 |
| vendor\grammars\minimalCpp                                                                                                                               |         14 |      1,871 |         76 |        165 |      2,112 |
| vendor\grammars\minimalCpp (Files)                                                                                                                       |          7 |        136 |          5 |         44 |        185 |
| vendor\grammars\minimalCpp\syntaxes                                                                                                                      |          2 |      1,502 |         40 |         65 |      1,607 |
| vendor\grammars\minimalCpp\test                                                                                                                          |          5 |        233 |         31 |         56 |        320 |
| vendor\luau                                                                                                                                              |        633 |    155,482 |     11,283 |     35,943 |    202,708 |
| vendor\luau (Files)                                                                                                                                      |          5 |        643 |         15 |        139 |        797 |
| vendor\luau\.github                                                                                                                                      |         10 |        609 |          0 |         68 |        677 |
| vendor\luau\.github (Files)                                                                                                                              |          1 |          1 |          0 |          1 |          2 |
| vendor\luau\.github\ISSUE_TEMPLATE                                                                                                                       |          3 |         19 |          0 |          5 |         24 |
| vendor\luau\.github\workflows                                                                                                                            |          6 |        589 |          0 |         62 |        651 |
| vendor\luau\.github\workflows (Files)                                                                                                                    |          5 |        529 |          0 |         58 |        587 |
| vendor\luau\.github\workflows\push-results                                                                                                               |          1 |         60 |          0 |          4 |         64 |
| vendor\luau\Analysis                                                                                                                                     |         99 |     35,046 |      2,612 |      7,925 |     45,583 |
| vendor\luau\Analysis\include                                                                                                                             |         54 |      4,871 |      1,072 |      1,489 |      7,432 |
| vendor\luau\Analysis\include\Luau                                                                                                                        |         54 |      4,871 |      1,072 |      1,489 |      7,432 |
| vendor\luau\Analysis\src                                                                                                                                 |         45 |     30,175 |      1,540 |      6,436 |     38,151 |
| vendor\luau\Ast                                                                                                                                          |         17 |      8,659 |        342 |      1,892 |     10,893 |
| vendor\luau\Ast\include                                                                                                                                  |         10 |      2,224 |        121 |        683 |      3,028 |
| vendor\luau\Ast\include\Luau                                                                                                                             |         10 |      2,224 |        121 |        683 |      3,028 |
| vendor\luau\Ast\src                                                                                                                                      |          7 |      6,435 |        221 |      1,209 |      7,865 |
| vendor\luau\CLI                                                                                                                                          |         15 |      1,956 |        285 |        485 |      2,726 |
| vendor\luau\CodeGen                                                                                                                                      |         39 |      6,518 |        474 |      1,676 |      8,668 |
| vendor\luau\CodeGen\include                                                                                                                              |         15 |        861 |         79 |        253 |      1,193 |
| vendor\luau\CodeGen\include\Luau                                                                                                                         |         15 |        861 |         79 |        253 |      1,193 |
| vendor\luau\CodeGen\src                                                                                                                                  |         24 |      5,657 |        395 |      1,423 |      7,475 |
| vendor\luau\Common                                                                                                                                       |          3 |        307 |        273 |        117 |        697 |
| vendor\luau\Common\include                                                                                                                               |          3 |        307 |        273 |        117 |        697 |
| vendor\luau\Common\include\Luau                                                                                                                          |          3 |        307 |        273 |        117 |        697 |
| vendor\luau\Compiler                                                                                                                                     |         18 |      6,253 |        480 |      1,742 |      8,475 |
| vendor\luau\Compiler\include                                                                                                                             |          3 |        255 |         36 |         93 |        384 |
| vendor\luau\Compiler\include (Files)                                                                                                                     |          1 |         16 |         14 |         10 |         40 |
| vendor\luau\Compiler\include\Luau                                                                                                                        |          2 |        239 |         22 |         83 |        344 |
| vendor\luau\Compiler\src                                                                                                                                 |         15 |      5,998 |        444 |      1,649 |      8,091 |
| vendor\luau\VM                                                                                                                                           |         50 |     15,152 |      1,615 |      2,851 |     19,618 |
| vendor\luau\VM\include                                                                                                                                   |          3 |        405 |        182 |        152 |        739 |
| vendor\luau\VM\src                                                                                                                                       |         47 |     14,747 |      1,433 |      2,699 |     18,879 |
| vendor\luau\bench                                                                                                                                        |        107 |      9,323 |        640 |      1,844 |     11,807 |
